mu_bins,freq
4.05928216e-10,5.0
1.3192667020000002e-09,201920.0
2.0296410800000003e-09,695112.0
3.0444616200000002e-09,612744.0
4.160764214e-09,459236.0
5.175584754e-09,355783.0
6.291887348e-09,287724.0
7.408189942e-09,218985.0
8.423010482000001e-09,175711.0
9.539313076e-09,147717.0
1.065561567e-08,125887.0
1.1873400318e-08,105295.0
1.2989702912e-08,89859.0
1.4106005506000002e-08,74832.0
1.5323790154e-08,59003.0
1.6541574802e-08,45349.0
1.7657877396e-08,34974.0
1.8875662044000008e-08,26181.0
2.0093446692e-08,20358.0
2.1412713394000005e-08,15335.0
2.2630498042e-08,12120.0
2.3949764744000002e-08,9951.0
2.5167549392e-08,7888.0
2.6486816094000003e-08,6319.0
2.7806082795999997e-08,4980.0
2.9226831552000006e-08,4220.0
3.0546098254e-08,3646.0
3.1966847010000003e-08,3174.0
3.3387595766e-08,2589.0
3.470686246800001e-08,2492.0
3.6229093278000005e-08,2235.0
3.7649842034e-08,1960.0
3.9172072844000005e-08,1620.0
4.059282160000001e-08,1474.0
4.221653446400001e-08,1352.0
4.3738765274000004e-08,1108.0
4.5260996084e-08,1058.0
4.688470894800001e-08,948.0
4.8508421812e-08,974.0
5.0132134676e-08,783.0
5.1857329594e-08,709.0
5.358252451200001e-08,698.0
5.530771943000001e-08,646.0
5.703291434800001e-08,548.0
5.885959132e-08,503.0
6.0686268292e-08,540.0
6.2512945264e-08,458.0
6.444110429e-08,455.0
6.6369263316e-08,396.0
6.8297422342e-08,392.0
7.0327063422e-08,375.0
7.2356704502e-08,345.0
7.448782763600001e-08,272.0
7.661895077000001e-08,284.0
7.8851555958e-08,237.0
8.108416114600001e-08,224.0
8.3316766334e-08,211.0
8.565085357600002e-08,193.0
8.8086422872e-08,183.0
9.0521992168e-08,155.0
9.2957561464e-08,193.0
9.5596094868e-08,148.0
9.823462827200001e-08,159.0
1.0087316167600002e-07,177.0
1.03714659188e-07,158.0
1.0655615670000001e-07,164.0
1.09499136266e-07,209.0
1.1254359788600001e-07,218.0
1.15588059506e-07,239.0
1.1883548523400002e-07,179.0
1.22184393016e-07,323.0
1.25634782852e-07,370.0
1.29186654742e-07,400.0
1.32840008686e-07,512.0
1.36696326738e-07,607.0
1.40654126844e-07,587.0
1.44814891058e-07,634.0
1.4917861938e-07,787.0
1.53643829756e-07,955.0
1.58413486294e-07,1114.0
1.6328462488600002e-07,1275.0
1.6856169169400002e-07,1330.0
1.7404172261000003e-07,1770.0
1.79826199688e-07,1809.0
1.8601660498200003e-07,2162.0
1.9251145643799998e-07,2343.0
1.99513718164e-07,2604.0
2.0702339016000002e-07,3149.0
2.1514195448000002e-07,3286.0
2.23970893178e-07,3391.0
2.33713170362e-07,3196.0
2.44368786032e-07,3621.0
2.56343668404e-07,3196.0
2.69840781586e-07,2567.0
2.8546901790200005e-07,1941.0
3.0404023378400005e-07,902.0
3.26670731826e-07,309.0
3.55897563378e-07,79.0
3.9699779524800004e-07,6.0
